Mapa,Cve_Ent,Nom_Ent,Nom_Abr,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ámbito,Latitud,Longitud,Lat_Decimal,Lon_Decimal,Altitud,Cve_Carta,Pob_Total,Pob_Masculina,Pob_Femenina,Total De Viviendas Habitadas,Niños UKA,Familias UKA
150740235,15,México,Mex.,74,San Felipe Del Progreso,235,"Barrio Zaragoza, Ejido De Fresno Nichi",R,"19°32´48.365N""","099°56´16.057W""",19.546768,-99.937794,2892,E14A27,915,440,475,174,,
150740007,15,México,Mex.,74,San Felipe Del Progreso,7,Calvario Buenavista,R,"19°42´14.132N""","099°57´23.132W""",19.703926,-99.956426,2639,E14A27,1928,921,1007,402,,
150740008,15,México,Mex.,74,San Felipe Del Progreso,8,Calvario Del Carmen,U,"19°38´11.692N""","100°00´38.897W""",19.636581,-100.010805,2637,E14A26,4101,1980,2121,789,,
150740274,15,México,Mex.,74,San Felipe Del Progreso,274,Charcos Azules San Jerónimo Mavatí,R,"19°34´22.334N""","099°55´34.759W""",19.572871,-99.926322,2912,E14A27,414,193,221,84,,
150740022,15,México,Mex.,74,San Felipe Del Progreso,22,Chichilpa,R,"19°43´13.062N""","100°02´33.901W""",19.720295,-100.04275,2794,E14A26,720,330,390,138,,
150740024,15,México,Mex.,74,San Felipe Del Progreso,24,Choteje,R,"19°42´57.234N""","100°01´07.167W""",19.715898,-100.018658,2729,E14A26,1454,683,771,282,,
150740233,15,México,Mex.,74,San Felipe Del Progreso,233,Colonia Guadalupe,R,"19°43´02.653N""","099°55´45.437W""",19.717404,-99.929288,2551,E14A27,199,88,111,47,,
150740277,15,México,Mex.,74,San Felipe Del Progreso,277,"Colonia La Constitución, San Antonio Mextepec",R,"19°39´00.872N""","099°57´18.305W""",19.650242,-99.955085,2670,E14A27,542,242,300,112,,
150740178,15,México,Mex.,74,San Felipe Del Progreso,178,Colonia La Esperanza,R,"19°44´10.000N""","099°56´13.000W""",19.736111,-99.936944,2564,E14A27,84,45,39,24,,
150740197,15,México,Mex.,74,San Felipe Del Progreso,197,Colonia Plateros De Palmillas,R,"19°41´06.909N""","099°56´18.913W""",19.685253,-99.938587,2624,E14A27,256,117,139,59,,
